bank,omni_channel_strategy,self_service_terminals,personalised_product_portfolio,degree_of_innovation,predictive_analytics,digital_experience_final_score,digital_onboarding,design_outlook,customer_security_measures,social_media,brand_story_final,aggregate_score
NAB,3,4,3.5,4.5,3.5,3.7,5,3.5,4.5,3.5,4.125,3.91
ANZ,5,5,4.5,3.5,4,4.4,3.5,3,4.5,5,4,4.20
CBA ,3.5,3,4,4.5,4.5,3.9,3.5,5,5,3.5,4.25,4.08
DBS,5,5,5,5,5,5,5,4,5,5,4.75,4.88
UOB Group,4.5,4.5,4.5,5,4.5,4.6,5,4.5,4.5,5,4.75,4.68
OCBC- Singapore,4.5,4.5,4.5,4.5,5,4.6,5,4.5,4.5,5,4.75,4.68
Westpac,3,3.5,4,4.5,3.5,3.7,4,5,4,4,4.25,3.98
AmBank,2,3.5,2,3,1.5,2.4,3,2.5,3,3,2.875,2.64
Bank Mandiri ,2.5,3.5,3.5,3.5,3.5,3.3,4,2.5,4.5,3,3.5,3.40
CIMB,3,4.5,3,3.5,3,3.4,3.5,2.5,4,3.5,3.375,3.39
Bendigo,4,3.5,4,4.5,4.5,4.1,4,5,4,3.5,4.125,4.11
Bank of Queensland,3,3,3.5,4,4,3.5,4,3.5,3,3.5,3.5,3.50
HLB,3,3.5,3,3,2,2.9,3,3,3,3,3,2.95
RHB,,,,,,0,,,,,0,0.00
Maybank,4.5,4,4,4.5,3.5,4.1,4.5,4,4.5,4.5,4.375,4.24
Public Bank ,3,5,4,4,2,3.6,3,4,4,3,3.5,3.55
BCA,3,4.5,2.5,2.5,2,2.9,4,3,4,3,3.5,3.20
BNI,3,2.5,2,3.5,2,2.6,4,3,4.5,4,3.875,3.24
BRI,3,4.5,4,4,2,3.5,4,3.5,3.5,2.5,3.375,3.44
ICBC,4,5,3,4,3.5,3.9,5,3.5,4,3,3.875,3.89
HSBC,4,4.5,4,5,4,4.3,5,4,5,5,4.75,4.53
BOC,4,5,5,3,3,4,2,3,3,2,2,3.00