bank,supplier_as_employee,supplier_as_employee_score,entry_and_exit_process,entry_and_exit_process_score,supplier_sustainability_initiatives,supplier_sustainability_initiatives_score,supplier_risk_management_policies,supplier_risk_management_policies_score,aggregate_score
Bank Mandiri ,"1.	Effective- Procurement activities must be in accordance with the requirements / plans that have been set and can provide optimal benefits for Bank Mandiri. 
2.	Efficient- Procurement activities are carried out to achieve quality as specified, with the agreed time at the best price level. 
3.	Open and complete- Implementation of procurement must be open to providers of goods and services that have met the requirements and carried out through fair competition among suppliers of goods and services that meet certain conditions / criteria based on clear and transparent provisions and procedures. 
4.	Transparent- All provisions and information regarding the implementation of procurement, including technical and administrative requirements, evaluation procedures, evaluation results, determination of prospective Goods and Services Providers, are open. 
5.	Fair and Non-discriminatory- Provide equal treatment for all prospective Goods and Services Providers and does not lead to providing benefits to certain parties in any way and / or reason. 
6.	Accountable The procurement process, results and payments must be accountable 
7.	Responsible- The procurement process is carried out carefully and complies with applicable regulations. 
8.	Independent- Procurement decisions are taken objectively and are free from pressure from any party. 
",4,"-	Mandiri Supplier Financing 
It was a supplier bill takeover service without regress / without recourse (forfaiting) rights, which aimed to allow suppliers to receive early payment before the invoice was due. Mandiri Supplier Financing transactions could be accessed online / web based (Mandiri Financial Supply Chain Management system) by Suppliers and Buyers in order to easily monitor documents and bill payments quickly, easily and safely. 

-	Mandiri Financial Supply Chain Management 
Mandiri Financial Supply Chain Management was a web-based online system for value chain transactions (relationships in the supply chain including Principals, Suppliers and Distributors), including Mandiri Supplier Financing and Mandiri Distributor Financing services. Mandiri Financial Supply Chain Management Features: 
1.	Ease of creating or uploading invoices for transactions with business partners.  
2.	Easy monitoring of business transaction documents and invoice status.  
3.	Ease of payment processing and use of financing facilities for business invoices.  
4.	Transaction security through the implementation of a multilevel authorization level  system.  
5.	Flexible because transactions could be carried out online anytime, anywhere.  
6.	Provision of transaction notifications and reports for easy reconciliation of business bills.  
",4,"Supply competency development program- The bank carries out vendor meetings and gatherings which has the following benefits:

1.	Sharing values 
2.	Synergy- A means of accelerating harmonious cooperation between Bank Mandiri and Bank Mandiri partners 
3.	Communication- Communication forum to get input from suppliers to improve the procurement process at Bank Mandiri 
4.	Engagement- Increase supplier engagement with Bank Mandiri 
",3,"Monitoring Mechanism 
In monitoring the implementation of fair operations, Bank Mandiri conducts audits both from external and internal parties. To measure the level of supplier/vendor satisfaction, Bank Mandiri has conducted a supplier satisfaction survey. In addition, the social responsibility monitoring mechanism related to fair operations is also carried out through evaluation and improvement of GCG implementation by carrying out self-assessments which are conducted every semester. Bank Mandiri also conducts a GCG Assessment which is assessed by the Corporate Governance Perception Index (CGPI), namely The Indonesian Institute of Corporate Governance (IICG). 
",3,14
BCA,"In carrying out their duties, all BCA employees must protect the reputation of BCA, including but not limited to: 
•	Maintaining the self-appearance and behaving  with the good ethics and manners (through the  actions and words).  
•	Not compromising excessively while performing vendor pre-qualifications and vendor bill  verification.  
•	Avoiding any meetings that will influence the  decisions related to the employees’ duties and responsibilities.  
•	Avoiding any situations where the vendors’ behavior might lead to personal gain and/or create loss for BCA.  
•	Protecting the confidentiality of BCA and vendor data obtained when performing their duties and not using them for personal gain.  
•	Providing information proactively to Management or the authorities if there is any family relationship or affiliation with the vendors that may potentially influence objectivity in carrying out tasks.  
•	Preventing conflict of interest consistently while dealing  with vendors.
",3,"Procurement Policy 
The Policy on the Procurement of Goods and/or Services related to Operating Supplies and Buildings shall contain, among others, the following: 
1.	The Provisions and Authority in relation to the Procurement of Goods and/or Services i.e., the provisions on the procurement method, payment system, eligible procurement transactions, etc. 
2.	System of Procurement of Goods and/or Services i.e., the provisions on centralization and decentralization, types of goods and/or services by category, handling of issues relating to procurement, etc.
3.	Classification of Activities i.e., the provisions on the Classification of Activities of Procurement of Goods and/or Services. 
Process of procurement 
-	Request for the goods/services needed
-	Selection of Vendor
-	Analysis (preparation of documents, quotation, price review & analysis, announcement, issuance of PO/PKS/KK)
-	Approval by competent officer
",3,"Implementation of the Anti- Graft Policy in the Procurement Process
1.	The personnel at all levels of the company are prohibited from requesting or receiving, permitting or agreeing to receive any gift or reward from a third party who in return obtains or purports to obtain any facilities or privileges from the company in relation to the company's operational activities. 
2.	The personnel at all levels of the Company are prohibited from requesting or receiving, permitting or agreeing to receive any gift or reward from a third party who in return obtains or purports to obtain a certain job or order from the company in relation to the procurement of goods or services. 
3.	If a customer, partner, or any other party gives holiday parcels/gifts on certain occasions such as Idul Fitri Holiday or other festive holidays, and if: 
-	as a result of receiving the parcels/gifts it is believed that the Company will be adversely affected and the Company’s decision may be affected, and 
-	the value of the parcels/gifts are unreasonably high, then the relevant personnel receiving such parcels/gifts must immediately return the parcels/gifts along with an explanation that the personnel at all levels of the Company are prohibited from receiving such parcels or gifts
",3,"Documentation i.e., the provisions on the documentation used in the procurement of goods and/or services, and the provisions on bank guarantees",2,11
Danamon,"All vendors must be treated equally in terms of opportunity, information, consideration in decision making during the vendor selection process as external entities that are bound professionally.                                                                                      Not taking advantage of any errors
made by vendors. Meaning that when
it can be explained and Danamon
accepts the explanation, consequently
Danamon is obliged to provide an
opportunity for re-negotiation as long
as it is acceptable for Danamon.                                               Every sourcing activity must be done
openly and accountably.
Protection on confidentiality
information provided by vendor to
Danamon and vice versa.
Not allowed to provide any information
that can give advantage to one vendor
only",4,"Danamon vendors is divided into two, which are: corporation /legal entity and individual vendors, with the following conditions:                                                      1. Corporation/legal business entity vendors (Taxable Enterprises) is prioritized for: - Principal vendors - Distributor or Sole Agent - Re-seller Individual vendors are required to have special skills needed by Danamon or located in the areas which are not covered by the related head office of sourcing units.                                                2. Required to have Danamon deposit
accounts, unless there is special written declaring vendor’s reason for not having/opening an account in
Danamon and it should be acceptable
by Danamon.                                                  3. Maximum vendor life time is 9 (nine)
years, except for vendors of software
providers, hardware providers,
maintenance providers and / or
professional services that have a
dependency on a software and
hardware owned by Danamon, and also
for any element that have Intellectual
Property Rights inherent in them.
Vendor who already in contract for 9
(nine) years is allow to rejoin the tender
process after 1 year recess period.
4. Prospective vendor can be
obtained from any source which are
not limited to the internet, users,
Danamon’s customers and vendors
 who directly submit their company
profiles. 

In order to meet the requirements
and needs of Danamon, Sourcing
Unit of Danamon does the following:
1. Conducting vendor profile assessment,
vendor performance assessment, and
vendor feasibility assessment. 2. Ensuring that products (goods/services)
listed in the catalog through the
selection processes as defined in
Danamon Procurement Policy. 3. Ensuring sourcing process conducted
using the following vendor selection
methods which stated in Danamon
Procurement Policy:
– Direct pointing which divided into 2 types, common and specific
method,
– Rapid tender,
– Competitive tender, and/or
– E-auction                                               Process selection of tender participants and
the winner of vendor selection must be
done in transparent and accountable.

4. Required to conduct vendor visit
together with Procurement Division in
any sourcing process for Cooperation
Agreement (“Perjanjian Kerjasama” –
PKS) with contract value starting from
Rp.100million, by way of visiting
vendor’s location and/or vendor’s
client location related to the ongoing
sourcing process. Should the vendor is
located oversea or should the
prospective winner vendor is listed on
the top ten list of valid market
reference, this visit is optional.

5. Before conducting sourcing, ensure that
necessary approvals from the
authorized officer in accordance with
Sourcing Management Limit Approval
as regulated in Danamon Procurement
Policy have been obtained.                           6. Ensure PKS documents are
administrated, monitored and are kept
for two years or throughout binding
cooperation life time unless during that
period vendor never been invited to
sourcing process by Danamon.7. Ensure vendor’s document
confidentiality 8. Ensure sourcing execution with deviation and/or sourcing with special
conditions is conducted through a
process as stated in Danamon
Procurement Policy",4,"In any circumstances, either at home or at the office, it is not allowed to accept any gifts, goods, commission in cash or alike (cheques, vouchers), souvenir, food;  Not engaging in any activities of borrowing from/ lending money to the vendor;  Avoiding non work related entertainment, including banquet provided by vendor;  Returning all samples of goods to the vendor;  Avoiding conflicts of interest, either personally or group or through an employee’s family member that may influence the Sourcing Unit in the sourcing decision making; Not to exploit the relationship with
vendors for personal benefit. ",3,"Evaluation of vendor performance should be done for all vendors who are bound by PKS at least once a year, and 3 months prior to the PKS ends or on certain/in special conditions. Evaluation conducted by Sourcing Unit and related user or by Procurement Division if necessary in accordance with the scope and requirements. Performance evaluation conducted on: - Timely delivery or Service Level Agreement (SLA). - Quality of goods / services based on PKS. - Price and/or expense. - Service and commitment during the PKS period. - Penalty - Truth-verified information from market. Danamon Internal Audit Division Danamon
and /or Quality Assurance or Internal
Control Unit conduct audit/vendor
interview if necessary and conduct vendor
oversight or review in order to ensure that the policies and procedures in Danamon
Procurement Policy has been properly
executed.",3,14
BNI,"The basic principles of procurement of goods and services
at the Bank are as follows:
1. Efficient: procurement of goods and/or services must
be endeavored to obtain optimal and best results in a
shortest amount of time by spending minimum funds
and capability in a reasonable manner and not solely
aiming to getting the lowest price.
2. Effective: the procurement of goods and/or services
must be in accordance with the predetermined
requirements and provide the maximum benefit in
accordance with the targets set.
3. Competitive: procurement of goods and/or services
must be open to all the Providers of Goods and/or
Services that meet the qualifications and is performed
in fair competition between equal Providers of goods
and/or services that meet certain conditions/criteria
based on clear and transparent rules and procedures.
4. Transparent: all provisions and information regarding
the procurement of goods and/or services, including
procurement administrative technical requirements,
evaluation procedures, evaluation results,
determination of prospective suppliers of goods and/or
services, are open to all the qualified providers goods
and/or services.
5. Just and Fair: arrange an equal treatment for all
prospective Goods and/or Service Providers who meet
the requirements.
6. Open: procurement of goods and/or services can be
pursued by all prospective providers of goods and/or
services that meet the requirements.
7. Accountable: must achieve the target and can be
accounted for so as to keep away from potential
misuse and irregularities.",4,"Tender, namely procurement that is widely announced
through the mass media with at least 3 (three)
potential participants.
2. Limited Tender, namely the procurement of goods
and/or services offered to limited number of parties
with at least 2 (two) potential participants within
certain limited values.
3. Direct Selection, namely the procurement of goods
and/or services which is carried out directly by
appointing one provider of goods and/or services
with due observance to the conditions of Direct
Appointment.
 4. Direct Procurement, namely the purchase of goods on
the market, thus the value is based on market prices,
including E-purchasing within certain limited values.
5. Self-management is implemented for work that is
incidental and/or simple and easy to supervise/monitor.
The implementation of the work if the labor force or
daily labor must be individual/individual within certain
limited values.                                                   As one of the means to support BNI’s strategy to transform into digital banking in the context of facing business
competition, increasing stakeholder satisfaction and GCG principles. Since 2017 BNI has used the Electronic Procurement
(e-Proc) Application to procure goods and services, in the form of the Procurement Management and Vendor Management
modules.",4,"In implementing the procurement of goods and services,
BNI implements the following ethics:
• 	 Carrying out tasks in an orderly manner, with a sense
of responsibility to achieve the goals, efficiency and
truthfulness to the objectives of the Procurement of
Goods and Services;
• 	 Work professionally, independently, and maintain the
confidentiality of information which by nature must
be kept confidential to prevent deviations from the
Procurement of Goods and Services;
• 	 Not to influence each other directly or indirectly which
results in unfair business competition;
• 	 Accept and be responsible for all decisions made in
accordance with the written agreement of the parties
concerned;
• 	 Avoid and prevent conflicting interests of related
parties, both directly and indirectly, which results in
unfair business competition in the Procurement of
Goods and Services;
• 	 Avoid and prevent waste/leakage of state/company
finances;
• 	 Avoid and prevent abuse of authority and/or collusion;
and/or
• 	 Not accepting, not offering, nor promising to give
or receive gifts, rewards, commissions, rebates,
and anything from or to anyone that is known
or reasonably suspected to be related to the
Procurement of Goods and Services.",2,,0,10
BRI,"•	Procurement of goods/services shall obtain optimum and best results within a swift timeframe by using as minimal as funding and capabilities fairly and not based solely on the lowest price. 
•	Procurement of goods/services shall be in line with the set requirements and provide significant benefits according to the set targets. 
•	Procurement of goods/services shall be an open opportunity for vendors of goods/services that meet the requirements and shall be done through sound competition between the equal vendors and meet certain requirements/criteria based on clear and transparent rules and procedures. 
•	All rules and information on procurement of goods/services, including technical requirement of procurement administration, evaluation procedures, evaluation results, determination of prospective vendors, are conducted transparently for interested parties. 
•	Procurement of goods and services can be participated by all vendor of goods/services that fulfill the set requirements. 
•	The procurement of goods and services can be participated by all providers of goods/services that meet the stipulated requirements. 
•	Shall meet the target and accountable, hence preventing form the potential of abuse and fraud. 
•	The goods and/or services to be procured shall refer to the standardization of goods and/or services and/ or have been used by other banks/companies. 
•	Procurement of goods and/or services is carried out by the Procurement & Logistic Operation Division, if it is carried out by another work unit, it must first obtain a Principle License from an Authorized Officer. 
•	Procurement of goods and/or services can be delegated to work units other than the Procurement & Logistic Operation Division up to the limits of the authority given. In excess of the given authority, approval must be sought from the Competent Authority. 
",4," Vendor management includes the process
of registration and selection of prospective vendors, monitoring, and evaluation of vendors performance, to identification of a blacklist. Vendor management creates a database of BRI’s potential suppliers that are ready and able to participate in BRI’s procurement.

2. The Registered Vendor Certificate is issued for qualified and eligible vendors from any business sectors that provide goods and services required by BRI.
3. BRI has created a list of vendors to refer to ina procurement process. The list was created by identifying qualified and eligible vendors based
on BRI’s criteria. 
4. Vendors are valuated based on procurement process, quality, delivery, responsiveness, and maintenance period.
5. BRI has developed a registered vendor management app, SKT Online, integrated with BRISMILE. The system enables self-service function for vendors
to register their companies (online registration) as well as evaluation function on a vendor’s legality and business capacity and issuance of Registered Vendor Certificate.",4,"EDuCATION PROGRAM FOR PARTNERS (VENDOR GATHERING) 
In 2020, BRI has organized Vendor Gathering through the Bank’s Partners/Suppliers Forum Group Discussion (FGD). The program presentation in this gathering includes: 
1.	Sharing on BRI future vision and mission.  
2.	Strengthening harmonious collaboration between BRI with its working partners.  
3.	Communication forum to obtain vendors’ inputs for improvement of procurement process in BRI.  
4.	ISO 3700:2016 dissemination and partners’ evaluation.  
Gifting policy- Not accepting, not offering or promising to give or receive gifts, rewards of any kind to anyone known or  reasonably suspected to be related to the procurement of goods and services.  
",4," To participate in a procurement activity, vendors must have a Registered Vendor Certificate. The Certificate is proof that the holder has been officially listed as BRI’s vendor and is required for vendors to compete in a procurement process.                                                   The criteria and the procurement process, from planning to bidding and awards, are identified and decided transparently according to GCG principles.",3,15
ICBC,"It organized public recruitment of
suppliers and promoted inclusion
of suppliers with premium
brands, leading technologies and
standardized management into the
supplier information bank.",3,"The Bank relied on its supplier
information bank for centralized
procurement in management ,
actively introduced high-quality
suppliers, and optimized the stock
structure.                                                                              It put the information bank into greater use for supplier access, grading and risk
assessment, and established a hierarchical approval and collective deliberation
mechanism to review supplier access into the information bank for tight control.                 Perform IT-based management of
suppliers                     ",3,"Conduct
supplier
satisfaction
surveys",1,"Environmental management
system certificate, occupational
health certificate, environmental labeled products certificate,
energy saving certificate, and
social responsibility standard
certificate.                                                                                                              Measures for performing social responsibilities in energy
saving and environmental
protection and occupational
health and safety as well as
self-assessment on the effects.                                                                                                                                                                             Information on whether the
product is included in the energy saving and environmental
protection list for government
procurement                                                             The Bank comprehensively
investigated and evaluated risks of
suppliers and weeded out failing
suppliers in time.",4,11
HSBC,"Supplier diversity- Our customers, suppliers and communities span many cultures and continents. We believe this diversity makes us stronger, and we are dedicated to building a diverse and connected workforce where everyone feels a sense of belonging. 

Supplier management conduct principles
1.	HSBC will treat suppliers in a fair and consistent way
2.	HSBC will communicate to suppliers in a knowledgeable, clear and transparent way
3.	HSBC will always behave in a professional way when dealing with our suppliers
4.	HSBC will listen and act quickly on incidents of poor conduct by HSBC employees when interacting with suppliers
5.	HSBC will hold our supply chain to the same high standards that it demonstrates
",5,"Supplier on-boarding- We require suppliers to meet our compliance and financial stability requirements, as well as to comply with our supplier ethical code of conduct. We consider on time payment to be of paramount importance, and our commitment to 
paying our suppliers is in line with all local requirements 

We made early payments to thousands  of our suppliers during the year to support them through the pandemic. 

Our supplier emissions are currently calculated using a methodology based on supplier spend. In 2020, we began the three-year process of targeting our largest suppliers, representing 60% of our annual supplier spend, to encourage them to make their own carbon commitments, and to disclose their emissions via the CDP supply chain programme. This programme will allow us to work with our suppliers to understand their commitment to carbon emission reduction, to educate those that are starting their journey, and to collaborate with those that are leading in this area. 
",3,"Approach with suppliers- Our ethical code of conduct for suppliers of goods and services, which must be complied with by all suppliers, sets out minimum standards for economic, environmental and social impacts. 
Requirements under supplier code of conduct 
1.	Economic- bringing economic benefit to the workers, investors and communities in which a company operates.
2.	Environmental- expects its suppliers to support sound environmental management principles and reduce their impact on the environment within which they operate.
3.	Social- UN Guiding Principles on Business and Human Rights
4.	Labour- Suppliers must prohibit the use of all types of slavery and forced and bonded labour and give workers, whether local or migrant, the right and the ability to leave employment when they choose
5.	Health and safety- Suppliers must provide a safe work environment, abiding by local laws and regulations;
6.	Ethics- Suppliers must support fair-trade and ethical sourcing practices relevant to the commodity or service provided
",5,"
Supplier risk management policies- As part of the HSBC sourcing process, all potential suppliers will be subject to due diligence and in order to comply with data protection laws we are required to notify our intentions regarding the use of your data. The bank conducts programmes and resources address specific areas of risk, like management of third-party suppliers. 
",5,18
BOC,"The Bank is dedicated to actively safeguarding the equal participation of micro and small enterprise suppliers. It also strengthened system building, established the supervision mechanism, properly managed contract performance, and saw to it that procurement was carried out bank-wide with honesty, self-discipline, high efficiency and compliance. ",3.5,"The Bank integrated important procurement needs across the board, steadily promoted the framework agreement management mode, and applied it to more suppliers and projects. It combined open online invitation for bids and targeted invitation so that qualified micro
and small enterprise suppliers can participate in the competition. While proposing requirements on the
basic eligibilities of qualified suppliers, the Bank did not have any other requirement on the registered
capital or scale of the enterprises except for a few projects with special requirements.",5,,,"The Bank included responsible procurement in links such as supplier selection, procurement, review,
supplier management and contract signing. Besides, the Bank required that “suppliers may not commit
illegal and rule-violating behaviours causing environmental and social risks such as environmental
pollution and illegal employment” in the bid invitations of all projects.
During supplier inspection and project review, the Bank evaluated the suppliers’ undertaking to
environmental protection and social responsibilities. In addition to suppliers’ written commitment, the
Bank also inspected their environment-friendly equipment and related measures, healthy office, and
took the inspection results into consideration during the project review. The Bank required clearly that “the supplier shall not be involved in any illegal activity that
triggers the social risk, e.g. illegal employment” in all bidding and invitation documents. During
supplier investigation and project review, the Bank evaluated the supplier’s undertaking to social
responsibilities, and taking into consideration the signing of employment contracts, purchase of
social insurance, health and safety of working environment, and implementation of labour protection
measures during the procurement project review.",5,13.5